Model,Learning Rate,Batch Size,Optimizer,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
MobileNet,0.01,64,Adam,7,1.283837758,53.3125,1.358955448,50.09
MobileNet,0.01,64,Adam,8,1.259407208,54.0975,1.673417614,40.98
MobileNet,0.01,64,Adam,9,1.247420725,54.63,1.246953232,55
MobileNet,0.01,64,Adam,10,1.219357493,55.695,1.240468544,55.54
MobileNet,0.01,64,Adam,11,1.213721693,56.015,1.640300324,41.41
MobileNet,0.01,64,Adam,12,1.205304871,56.1075,1.681334689,41.59
MobileNet,0.01,64,Adam,13,1.19534655,56.5575,1.337738369,51.1
MobileNet,0.01,64,Adam,14,1.181148365,57.245,1.317174994,53.19
MobileNet,0.01,64,Adam,15,1.174635289,57.2675,1.958555254,31.89
GoogleNet,0.1,32,SGD,1,1.861564541,30.4925,1.937315737,35.35
GoogleNet,0.1,32,SGD,2,1.36871565,50.1975,1.306822931,52.73
GoogleNet,0.1,32,SGD,3,1.161231593,58.6,1.583815771,44.18
GoogleNet,0.1,32,SGD,4,1.070422795,61.95,1.214692305,58.43
GoogleNet,0.1,32,SGD,5,0.983639725,65.4675,1.443416332,54.96
GoogleNet,0.1,32,SGD,6,0.929501482,67.6675,1.049725041,62.85
GoogleNet,0.1,32,SGD,7,0.882961939,69.11,1.324490391,59.52
GoogleNet,0.1,32,SGD,8,0.871135654,69.8125,1.146352021,59.47
GoogleNet,0.1,32,SGD,9,0.852256972,70.505,1.699608103,50.4
GoogleNet,0.1,32,SGD,10,0.8446847,71.1075,1.920554603,44.07
